date,cases,country
12-04-20,1667,Russia
11-04-20,1786,Russia
10-04-20,1459,Russia
09-04-20,1175,Russia
08-04-20,1154,Russia
07-04-20,954,Russia
06-04-20,658,Russia
05-04-20,582,Russia
04-04-20,601,Russia
03-04-20,771,Russia
02-04-20,440,Russia
01-04-20,501,Russia
31-03-20,302,Russia
30-03-20,270,Russia
29-03-20,228,Russia
28-03-20,196,Russia
27-03-20,182,Russia
26-03-20,163,Russia
25-03-20,57,Russia
24-03-20,0,Russia
23-03-20,132,Russia
22-03-20,53,Russia
21-03-20,54,Russia
20-03-20,52,Russia
19-03-20,33,Russia
18-03-20,21,Russia
17-03-20,30,Russia
16-03-20,4,Russia
15-03-20,14,Russia
14-03-20,15,Russia
13-03-20,5,Russia
12-03-20,15,Russia
11-03-20,0,Russia
10-03-20,0,Russia
09-03-20,0,Russia
08-03-20,0,Russia
07-03-20,6,Russia
06-03-20,0,Russia
05-03-20,0,Russia
04-03-20,1,Russia
03-03-20,1,Russia
02-03-20,0,Russia
01-03-20,0,Russia
29-02-20,0,Russia
28-02-20,0,Russia
27-02-20,0,Russia
26-02-20,0,Russia
25-02-20,0,Russia
24-02-20,0,Russia
23-02-20,0,Russia
22-02-20,0,Russia
21-02-20,0,Russia
20-02-20,0,Russia
19-02-20,0,Russia
18-02-20,0,Russia
17-02-20,0,Russia
16-02-20,0,Russia
15-02-20,0,Russia
14-02-20,0,Russia
13-02-20,0,Russia
12-02-20,0,Russia
11-02-20,0,Russia
10-02-20,0,Russia
09-02-20,0,Russia
08-02-20,0,Russia
07-02-20,0,Russia
06-02-20,0,Russia
05-02-20,0,Russia
04-02-20,0,Russia
03-02-20,0,Russia
02-02-20,0,Russia
01-02-20,2,Russia
31-01-20,0,Russia
30-01-20,0,Russia
29-01-20,0,Russia
28-01-20,0,Russia
27-01-20,0,Russia
26-01-20,0,Russia
25-01-20,0,Russia
24-01-20,0,Russia
23-01-20,0,Russia
22-01-20,0,Russia
21-01-20,0,Russia
20-01-20,0,Russia
19-01-20,0,Russia
18-01-20,0,Russia
17-01-20,0,Russia
16-01-20,0,Russia
15-01-20,0,Russia
14-01-20,0,Russia
13-01-20,0,Russia
12-01-20,0,Russia
11-01-20,0,Russia
10-01-20,0,Russia
09-01-20,0,Russia
08-01-20,0,Russia
07-01-20,0,Russia
06-01-20,0,Russia
05-01-20,0,Russia
04-01-20,0,Russia
03-01-20,0,Russia
02-01-20,0,Russia
01-01-20,0,Russia
31-12-19,0,Russia
16-06-20,19957,United States of America
15-06-20,19543,United States of America
14-06-20,25540,United States of America
13-06-20,25639,United States of America
12-06-20,22883,United States of America
11-06-20,20614,United States of America
10-06-20,18665,United States of America
09-06-20,18822,United States of America
08-06-20,22302,United States of America
07-06-20,22223,United States of America
06-06-20,25178,United States of America
05-06-20,21140,United States of America
04-06-20,19699,United States of America
03-06-20,20544,United States of America
02-06-20,21086,United States of America
01-06-20,19807,United States of America
31-05-20,23297,United States of America
30-05-20,25337,United States of America
29-05-20,21817,United States of America
28-05-20,18721,United States of America
27-05-20,18910,United States of America
26-05-20,19064,United States of America
25-05-20,20568,United States of America
24-05-20,21236,United States of America
23-05-20,24147,United States of America
22-05-20,25434,United States of America
21-05-20,23285,United States of America
20-05-20,19970,United States of America
19-05-20,21841,United States of America
18-05-20,18873,United States of America
17-05-20,24487,United States of America
16-05-20,25508,United States of America
15-05-20,27143,United States of America
14-05-20,20782,United States of America
13-05-20,22048,United States of America
12-05-20,18117,United States of America
11-05-20,20258,United States of America
10-05-20,25612,United States of America
09-05-20,26957,United States of America
08-05-20,28369,United States of America
07-05-20,24128,United States of America
06-05-20,23841,United States of America
05-05-20,22593,United States of America
04-05-20,24972,United States of America
03-05-20,29288,United States of America
02-05-20,33955,United States of America
01-05-20,29917,United States of America
30-04-20,27326,United States of America
29-04-20,24132,United States of America
28-04-20,22541,United States of America
27-04-20,26857,United States of America
26-04-20,48529,United States of America
25-04-20,21352,United States of America
24-04-20,26543,United States of America
23-04-20,17588,United States of America
22-04-20,37289,United States of America
21-04-20,28065,United States of America
20-04-20,24601,United States of America
19-04-20,32922,United States of America
18-04-20,30833,United States of America
17-04-20,31667,United States of America
16-04-20,30148,United States of America
15-04-20,26922,United States of America
14-04-20,25023,United States of America
13-04-20,27620,United States of America
12-04-20,28391,United States of America
11-04-20,35527,United States of America
10-04-20,33901,United States of America
09-04-20,33323,United States of America
08-04-20,30613,United States of America
07-04-20,30561,United States of America
06-04-20,25398,United States of America
05-04-20,34272,United States of America
04-04-20,32425,United States of America
03-04-20,28819,United States of America
02-04-20,27103,United States of America
01-04-20,24998,United States of America
31-03-20,21595,United States of America
30-03-20,18360,United States of America
29-03-20,19979,United States of America
28-03-20,18695,United States of America
27-03-20,16797,United States of America
26-03-20,13963,United States of America
25-03-20,8789,United States of America
24-03-20,11236,United States of America
23-03-20,8459,United States of America
22-03-20,7123,United States of America
21-03-20,5374,United States of America
20-03-20,4835,United States of America
19-03-20,2988,United States of America
18-03-20,1766,United States of America
17-03-20,887,United States of America
16-03-20,823,United States of America
15-03-20,777,United States of America
14-03-20,511,United States of America
13-03-20,351,United States of America
12-03-20,287,United States of America
11-03-20,271,United States of America
10-03-20,200,United States of America
09-03-20,121,United States of America
08-03-20,95,United States of America
07-03-20,105,United States of America
06-03-20,74,United States of America
05-03-20,34,United States of America
04-03-20,22,United States of America
03-03-20,14,United States of America
02-03-20,20,United States of America
01-03-20,3,United States of America
29-02-20,6,United States of America
28-02-20,1,United States of America
27-02-20,6,United States of America
26-02-20,0,United States of America
25-02-20,18,United States of America
24-02-20,0,United States of America
23-02-20,0,United States of America
22-02-20,19,United States of America
21-02-20,1,United States of America
20-02-20,0,United States of America
